Date,City,Country,Mode,Ridership,Population_Million,Passenger_per_Capita,GDP_Billion_USD,PM25_Mean_ug_m3
2024-07-01,Bangkok,Thailand,PK,1786789.0,11.27,0.1585438331854481,548.0,21.7
2024-07-01,Bangkok,Thailand,RL,982825.0,11.27,0.08720718722271517,548.0,21.7
2024-07-01,Bangkok,Thailand,SRT,2315904.0,11.27,0.20549281277728482,548.0,21.7
2024-07-01,Bangkok,Thailand,YL,1180084.0,11.27,0.10471020408163265,548.0,21.7
2024-08-01,Bangkok,Thailand,ARL,2138659.0,11.27,0.1897656610470275,548.0,21.7
2024-08-01,Bangkok,Thailand,BTS,24053454.0,11.27,2.1342905057675243,548.0,21.7
2024-08-01,Bangkok,Thailand,MRT,16060519.0,11.27,1.4250682342502219,548.0,21.7
2024-08-01,Bangkok,Thailand,PK,1833763.0,11.27,0.16271188997338065,548.0,21.7
2024-08-01,Bangkok,Thailand,RL,1041440.0,11.27,0.09240816326530613,548.0,21.7
2024-08-01,Bangkok,Thailand,SRT,2309993.0,11.27,0.20496832298136647,548.0,21.7
2024-08-01,Bangkok,Thailand,YL,1259475.0,11.27,0.11175465838509317,548.0,21.7
2024-09-01,Bangkok,Thailand,ARL,2019374.0,11.27,0.17918136645962732,548.0,21.7
2024-09-01,Bangkok,Thailand,BTS,22549981.0,11.27,2.0008856255545697,548.0,21.7
2024-09-01,Bangkok,Thailand,MRT,15216566.0,11.27,1.3501833185448093,548.0,21.7
2024-09-01,Bangkok,Thailand,PK,1758650.0,11.27,0.15604702750665483,548.0,21.7
2024-09-01,Bangkok,Thailand,RL,1014913.0,11.27,0.09005439219165927,548.0,21.7
2024-09-01,Bangkok,Thailand,SRT,2128532.0,11.27,0.18886708074534161,548.0,21.7
2024-09-01,Bangkok,Thailand,YL,1249664.0,11.27,0.11088411712511091,548.0,21.7
2024-10-01,Bangkok,Thailand,ARL,2086930.0,11.27,0.1851756876663709,548.0,21.7
2024-10-01,Bangkok,Thailand,BTS,22677874.0,11.27,2.01223371783496,548.0,21.7
2024-10-01,Bangkok,Thailand,MRT,15728753.0,11.27,1.3956302573203194,548.0,21.7
2024-10-01,Bangkok,Thailand,PK,1741427.0,11.27,0.15451881100266193,548.0,21.7
2024-10-01,Bangkok,Thailand,RL,1058160.0,11.27,0.09389174800354924,548.0,21.7
2024-10-01,Bangkok,Thailand,SRT,2456949.0,11.27,0.21800789707187224,548.0,21.7
2024-10-01,Bangkok,Thailand,YL,1300529.0,11.27,0.11539742679680567,548.0,21.7
2024-11-01,Bangkok,Thailand,ARL,2102625.0,11.27,0.18656832298136647,548.0,21.7
2024-11-01,Bangkok,Thailand,BTS,23562414.0,11.27,2.0907199645075423,548.0,21.7
2024-11-01,Bangkok,Thailand,MRT,15937628.0,11.27,1.4141639751552795,548.0,21.7
2024-11-01,Bangkok,Thailand,PK,1799627.0,11.27,0.1596829636202307,548.0,21.7
2024-11-01,Bangkok,Thailand,RL,1068468.0,11.27,0.09480638864241349,548.0,21.7
2024-11-01,Bangkok,Thailand,SRT,2276965.0,11.27,0.2020377107364685,548.0,21.7
2024-11-01,Bangkok,Thailand,YL,1307423.0,11.27,0.11600913930789707,548.0,21.7
2024-12-01,Bangkok,Thailand,ARL,2074341.0,11.27,0.1840586512866016,548.0,21.7
2024-12-01,Bangkok,Thailand,BTS,23328608.0,11.27,2.0699740905057675,548.0,21.7
2024-12-01,Bangkok,Thailand,MRT,15252052.0,11.27,1.353332031943212,548.0,21.7
2024-12-01,Bangkok,Thailand,PK,1708643.0,11.27,0.15160984915705414,548.0,21.7
2024-12-01,Bangkok,Thailand,RL,1027279.0,11.27,0.09115164152617569,548.0,21.7
2024-12-01,Bangkok,Thailand,SRT,2370905.0,11.27,0.21037311446317658,548.0,21.7
2024-12-01,Bangkok,Thailand,YL,1329107.0,11.27,0.11793318544809228,548.0,21.7
2025-01-01,Bangkok,Thailand,ARL,2251096.0,11.45,0.1966022707423581,560.0,22.0
2025-01-01,Bangkok,Thailand,BTS,25091690.0,11.45,2.1914139737991265,560.0,22.0
2025-01-01,Bangkok,Thailand,MRT,16953574.0,11.45,1.4806614847161572,560.0,22.0
2025-01-01,Bangkok,Thailand,PK,2100845.0,11.45,0.18347991266375546,560.0,22.0
2025-01-01,Bangkok,Thailand,RL,1167041.0,11.45,0.10192497816593886,560.0,22.0
2025-01-01,Bangkok,Thailand,SRT,2443119.0,11.45,0.2133728384279476,560.0,22.0
2025-01-01,Bangkok,Thailand,YL,1552339.0,11.45,0.13557545851528385,560.0,22.0
2025-02-01,Bangkok,Thailand,ARL,2059801.0,11.45,0.17989528384279477,560.0,22.0
2025-02-01,Bangkok,Thailand,BTS,21882031.0,11.45,1.9110944104803493,560.0,22.0
2025-02-01,Bangkok,Thailand,MRT,14825051.0,11.45,1.2947642794759826,560.0,22.0
2025-02-01,Bangkok,Thailand,PK,1730930.0,11.45,0.15117292576419214,560.0,22.0
2025-02-01,Bangkok,Thailand,RL,1058744.0,11.45,0.09246672489082969,560.0,22.0
2025-02-01,Bangkok,Thailand,SRT,2173359.0,11.45,0.1898130131004367,560.0,22.0
2025-02-01,Bangkok,Thailand,YL,1270179.0,11.45,0.11093266375545852,560.0,22.0
2025-03-01,Bangkok,Thailand,ARL,2032362.0,11.45,0.17749886462882097,560.0,22.0
2025-03-01,Bangkok,Thailand,BTS,21450065.0,11.45,1.8733681222707423,560.0,22.0
2025-03-01,Bangkok,Thailand,MRT,14718982.0,11.45,1.2855006113537117,560.0,22.0
